,IsLeftObstacle,IsForwardObstacle,IsRightObstacle,AngleWithFood,Direction,Decision
0,False,False,False,0.039583424160565546,-1,0
1,False,False,False,-0.42202086962263075,1,0
2,False,False,False,0.06960448727306395,0,0
3,False,False,False,0.06283295818900118,-1,0
4,False,False,False,-0.4072264209222577,1,0
5,False,False,False,0.08475065946143209,1,1
6,False,False,True,0.5572491470487002,-1,0
7,False,False,False,0.05256845671125343,-1,0
8,True,False,False,-0.42202086962263075,-1,-1
9,False,False,False,-0.2166166335694749,1,0
10,False,False,False,0.2744372519721974,-1,0
11,False,False,False,-0.21827448256944645,-1,1
12,True,False,False,-0.709412447037162,0,1
13,False,False,False,-0.7001520743616867,1,0
14,False,False,False,-0.19346938420531554,-1,1
15,False,False,False,-0.6839518997798446,1,0
16,False,False,False,-0.17780768448935277,1,0
17,False,False,True,0.3128329581890012,1,-1
18,False,False,False,0.9019437543337215,-1,0
19,False,False,False,0.3889827415450001,1,1
20,False,False,False,0.8841418997801204,-1,0
21,False,False,False,0.3711189415908434,-1,0
22,True,False,False,-0.12360568698451314,0,0
23,False,False,False,-0.1187256792741288,-1,1
24,False,False,False,-0.6065500445878373,1,0
25,False,False,False,-0.10241638234956672,1,0
26,False,False,True,0.3857997487800919,1,-1
27,False,False,False,-0.7182744825694465,0,1
28,False,False,False,-0.709412447037162,0,1
29,False,False,False,-0.7001520743616867,0,1
30,False,False,False,-0.690482649873383,1,0
31,False,False,False,-0.1839518997798446,-1,1
32,False,False,False,-0.6740482937100232,0,1
33,False,False,False,-0.6637549389069208,0,1
34,False,False,False,-0.6530711754262101,1,0
35,False,False,False,-0.14758361765043326,-1,1
36,False,False,False,-0.6367975821453534,0,1
37,False,False,False,-0.6256659163780024,1,0
38,False,False,False,-0.12111894159084341,1,0
39,False,False,True,0.368058363928518,0,0
40,False,False,False,0.35754996764274843,1,1
41,False,False,False,0.8524163823495667,1,1
42,False,False,True,-0.6367975821453534,0,1
43,False,False,False,-0.6256659163780024,-1,1
44,False,False,False,0.8694524129113773,-1,0
45,True,False,False,0.3580001934898677,-1,-1
46,False,False,False,-0.3128329581890012,0,0
47,False,False,False,-0.28958342416056554,0,0
